"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 14 19:11:36 GMT 2023","Sat Oct 14 19:11:37 GMT 2023","942","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testCorrectLoginCredentials","testCorrectLoginCredentials(LoginData) [1] LoginData(super=BaseData(testCaseId=TC-1), username=standard_user, password=secret_sauce, errorMessage=)","Test that verifies user gets redirected to 'Products' page after submitting correct login credentials"
"passed","Sat Oct 14 19:11:48 GMT 2023","Sat Oct 14 19:11:49 GMT 2023","971","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testIncorrectLoginCredentials","testIncorrectLoginCredentials(LoginData) [6] LoginData(super=BaseData(testCaseId=TC-2), username=demo_username, password=demo_password, errorMessage=Epic sadface: Username and password do not match any user in this service)","Test that verifies user gets error message after submitting incorrect login credentials"
"passed","Sat Oct 14 19:11:37 GMT 2023","Sat Oct 14 19:11:38 GMT 2023","910","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testCorrectLoginCredentials","testCorrectLoginCredentials(LoginData) [2] LoginData(super=BaseData(testCaseId=TC-1), username=problem_user, password=secret_sauce, errorMessage=)","Test that verifies user gets redirected to 'Products' page after submitting correct login credentials"
"passed","Sat Oct 14 19:11:34 GMT 2023","Sat Oct 14 19:11:36 GMT 2023","1827","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testBlankPassword","testBlankPassword(LoginData) [1] LoginData(super=BaseData(testCaseId=TC-4), username=demo_username, password=, errorMessage=Epic sadface: Password is required)","Test that verifies user gets error message after submitting login credentials where the password is blank"
"passed","Sat Oct 14 19:11:38 GMT 2023","Sat Oct 14 19:11:44 GMT 2023","5916","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testCorrectLoginCredentials","testCorrectLoginCredentials(LoginData) [3] LoginData(super=BaseData(testCaseId=TC-1), username=performance_glitch_user, password=secret_sauce, errorMessage=)","Test that verifies user gets redirected to 'Products' page after submitting correct login credentials"
"passed","Sat Oct 14 19:11:49 GMT 2023","Sat Oct 14 19:11:50 GMT 2023","918","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testLockedOutUser","testLockedOutUser(LoginData) [1] LoginData(super=BaseData(testCaseId=TC-5), username=locked_out_user, password=secret_sauce, errorMessage=Epic sadface: Sorry, this user has been locked out.)","Test that verifies user gets error message after submitting login credentials for locked out user"
"passed","Sat Oct 14 19:11:45 GMT 2023","Sat Oct 14 19:11:46 GMT 2023","894","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testIncorrectLoginCredentials","testIncorrectLoginCredentials(LoginData) [3] LoginData(super=BaseData(testCaseId=TC-2), username=locked_out_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","Test that verifies user gets error message after submitting incorrect login credentials"
"passed","Sat Oct 14 19:11:50 GMT 2023","Sat Oct 14 19:11:51 GMT 2023","823","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testBlankUserName","testBlankUserName(LoginData) [1] LoginData(super=BaseData(testCaseId=TC-3), username=, password=demo_password, errorMessage=Epic sadface: Username is required)","Test that verifies user gets error message after submitting login credentials where the username is blank"
"passed","Sat Oct 14 19:11:47 GMT 2023","Sat Oct 14 19:11:48 GMT 2023","923","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testIncorrectLoginCredentials","testIncorrectLoginCredentials(LoginData) [5] LoginData(super=BaseData(testCaseId=TC-2), username=performance_glitch_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","Test that verifies user gets error message after submitting incorrect login credentials"
"passed","Sat Oct 14 19:11:44 GMT 2023","Sat Oct 14 19:11:45 GMT 2023","916","","io.github.tahanima.e2e.LoginE2ETest","","io.github.tahanima.e2e.LoginE2ETest","testIncorrectLoginCredentials","testIncorrectLoginCredentials(LoginData) [1] LoginData(super=BaseData(testCaseId=TC-2), username=username, password=secret_sauce, errorMessage=Epic sadface: Username and password do not match any user in this service)","Test that verifies user gets error message after submitting incorrect login credentials"
