"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that verifies user gets error message after submitting login credentials where the password is blank","2348","testBlankPassword(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-4), username=demo_username, password=, errorMessage=Epic sadface: Password is required)","","Sun Feb 22 21:03:33 UTC 2026","passed","Sun Feb 22 21:03:36 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankPassword"
"Test that verifies user gets error message after submitting incorrect login credentials","843","testIncorrectLoginCredentials(LoginTestData) [3] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=locked_out_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:03:46 UTC 2026","passed","Sun Feb 22 21:03:46 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Login' page after logging out","3584","testSuccessfulLogout(ProductsTestData) [1] ProductsTestData(super=BaseTestData(testCaseId=TC-1), username=standard_user, password=secret_sauce, url=https://www.saucedemo.com/)","","Sun Feb 22 21:03:33 UTC 2026","passed","Sun Feb 22 21:03:37 UTC 2026","","io.github.tahanima.e2e.ProductsTest","io.github.tahanima.e2e.ProductsTest","testSuccessfulLogout"
"Test that verifies user gets error message after submitting incorrect login credentials","901","testIncorrectLoginCredentials(LoginTestData) [2] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=standard_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:03:45 UTC 2026","passed","Sun Feb 22 21:03:46 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","1009","testCorrectLoginCredentials(LoginTestData) [2] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=problem_user, password=secret_sauce, errorMessage=)","","Sun Feb 22 21:03:37 UTC 2026","passed","Sun Feb 22 21:03:38 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","878","testIncorrectLoginCredentials(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=username, password=secret_sauce, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:03:44 UTC 2026","passed","Sun Feb 22 21:03:45 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","914","testCorrectLoginCredentials(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=standard_user, password=secret_sauce, errorMessage=)","","Sun Feb 22 21:03:36 UTC 2026","passed","Sun Feb 22 21:03:37 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","845","testIncorrectLoginCredentials(LoginTestData) [5] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=performance_glitch_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:03:47 UTC 2026","passed","Sun Feb 22 21:03:48 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","863","testIncorrectLoginCredentials(LoginTestData) [4] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=problem_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:03:46 UTC 2026","passed","Sun Feb 22 21:03:47 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials for locked out user","1091","testLockedOutUser(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-5), username=locked_out_user, password=secret_sauce, errorMessage=Epic sadface: Sorry, this user has been locked out.)","","Sun Feb 22 21:03:49 UTC 2026","passed","Sun Feb 22 21:03:50 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testLockedOutUser"
"Test that verifies user gets error message after submitting incorrect login credentials","875","testIncorrectLoginCredentials(LoginTestData) [6] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=demo_username, password=demo_password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:03:48 UTC 2026","passed","Sun Feb 22 21:03:49 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","5908","testCorrectLoginCredentials(LoginTestData) [3] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=performance_glitch_user, password=secret_sauce, errorMessage=)","","Sun Feb 22 21:03:38 UTC 2026","passed","Sun Feb 22 21:03:44 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials where the username is blank","774","testBlankUserName(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-3), username=, password=demo_password, errorMessage=Epic sadface: Username is required)","","Sun Feb 22 21:03:50 UTC 2026","passed","Sun Feb 22 21:03:51 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankUserName"
