"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that verifies user gets error message after submitting login credentials where the password is blank","2398","testBlankPassword(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-4), username=demo_username, password=, errorMessage=Epic sadface: Password is required)","","Mon Feb 23 07:35:04 UTC 2026","passed","Mon Feb 23 07:35:06 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankPassword"
"Test that verifies user gets error message after submitting login credentials for locked out user","965","testLockedOutUser(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-5), username=locked_out_user, password=secret_sauce, errorMessage=Epic sadface: Sorry, this user has been locked out.)","","Mon Feb 23 07:35:20 UTC 2026","passed","Mon Feb 23 07:35:21 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testLockedOutUser"
"Test that verifies user gets error message after submitting incorrect login credentials","976","testIncorrectLoginCredentials(LoginTestData) [2] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=standard_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:35:16 UTC 2026","passed","Mon Feb 23 07:35:17 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","1185","testCorrectLoginCredentials(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=standard_user, password=secret_sauce, errorMessage=)","","Mon Feb 23 07:35:06 UTC 2026","passed","Mon Feb 23 07:35:08 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","932","testIncorrectLoginCredentials(LoginTestData) [4] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=problem_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:35:18 UTC 2026","passed","Mon Feb 23 07:35:18 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials where the username is blank","885","testBlankUserName(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-3), username=, password=demo_password, errorMessage=Epic sadface: Username is required)","","Mon Feb 23 07:35:21 UTC 2026","passed","Mon Feb 23 07:35:22 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankUserName"
"Test that verifies user gets redirected to 'Login' page after logging out","3865","testSuccessfulLogout(ProductsTestData) [1] ProductsTestData(super=BaseTestData(testCaseId=TC-1), username=standard_user, password=secret_sauce, url=https://www.saucedemo.com/)","","Mon Feb 23 07:35:04 UTC 2026","passed","Mon Feb 23 07:35:08 UTC 2026","","io.github.tahanima.e2e.ProductsTest","io.github.tahanima.e2e.ProductsTest","testSuccessfulLogout"
"Test that verifies user gets error message after submitting incorrect login credentials","893","testIncorrectLoginCredentials(LoginTestData) [3] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=locked_out_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:35:17 UTC 2026","passed","Mon Feb 23 07:35:18 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","1067","testCorrectLoginCredentials(LoginTestData) [2] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=problem_user, password=secret_sauce, errorMessage=)","","Mon Feb 23 07:35:08 UTC 2026","passed","Mon Feb 23 07:35:09 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","927","testIncorrectLoginCredentials(LoginTestData) [5] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=performance_glitch_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:35:18 UTC 2026","passed","Mon Feb 23 07:35:19 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","918","testIncorrectLoginCredentials(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=username, password=secret_sauce, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:35:15 UTC 2026","passed","Mon Feb 23 07:35:16 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","5986","testCorrectLoginCredentials(LoginTestData) [3] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=performance_glitch_user, password=secret_sauce, errorMessage=)","","Mon Feb 23 07:35:09 UTC 2026","passed","Mon Feb 23 07:35:15 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","930","testIncorrectLoginCredentials(LoginTestData) [6] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=demo_username, password=demo_password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Feb 23 07:35:19 UTC 2026","passed","Mon Feb 23 07:35:20 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
