"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that verifies user gets redirected to 'Login' page after logging out","3621","testSuccessfulLogout(ProductsTestData) [1] ProductsTestData(super=BaseTestData(testCaseId=TC-1), username=standard_user, password=secret_sauce, url=https://www.saucedemo.com/)","","Sun Feb 22 20:59:53 UTC 2026","passed","Sun Feb 22 20:59:57 UTC 2026","","io.github.tahanima.e2e.ProductsTest","io.github.tahanima.e2e.ProductsTest","testSuccessfulLogout"
"Test that verifies user gets error message after submitting login credentials for locked out user","956","testLockedOutUser(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-5), username=locked_out_user, password=secret_sauce, errorMessage=Epic sadface: Sorry, this user has been locked out.)","","Sun Feb 22 21:00:14 UTC 2026","passed","Sun Feb 22 21:00:15 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testLockedOutUser"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","1088","testCorrectLoginCredentials(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=standard_user, password=secret_sauce, errorMessage=)","","Sun Feb 22 20:59:56 UTC 2026","passed","Sun Feb 22 20:59:57 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials where the username is blank","830","testBlankUserName(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-3), username=, password=demo_password, errorMessage=Epic sadface: Username is required)","","Sun Feb 22 21:00:15 UTC 2026","passed","Sun Feb 22 21:00:16 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankUserName"
"Test that verifies user gets error message after submitting incorrect login credentials","968","testIncorrectLoginCredentials(LoginTestData) [5] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=performance_glitch_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:00:12 UTC 2026","passed","Sun Feb 22 21:00:13 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials where the password is blank","2355","testBlankPassword(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-4), username=demo_username, password=, errorMessage=Epic sadface: Password is required)","","Sun Feb 22 20:59:54 UTC 2026","passed","Sun Feb 22 20:59:56 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankPassword"
"Test that verifies user gets error message after submitting incorrect login credentials","959","testIncorrectLoginCredentials(LoginTestData) [4] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=problem_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:00:11 UTC 2026","passed","Sun Feb 22 21:00:12 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","2813","testIncorrectLoginCredentials(LoginTestData) [1] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=username, password=secret_sauce, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:00:04 UTC 2026","passed","Sun Feb 22 21:00:07 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","877","testIncorrectLoginCredentials(LoginTestData) [2] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=standard_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:00:07 UTC 2026","passed","Sun Feb 22 21:00:08 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","1043","testCorrectLoginCredentials(LoginTestData) [2] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=problem_user, password=secret_sauce, errorMessage=)","","Sun Feb 22 20:59:57 UTC 2026","passed","Sun Feb 22 20:59:58 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","3415","testIncorrectLoginCredentials(LoginTestData) [3] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=locked_out_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:00:08 UTC 2026","passed","Sun Feb 22 21:00:11 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","6012","testCorrectLoginCredentials(LoginTestData) [3] LoginTestData(super=BaseTestData(testCaseId=TC-1), username=performance_glitch_user, password=secret_sauce, errorMessage=)","","Sun Feb 22 20:59:58 UTC 2026","passed","Sun Feb 22 21:00:04 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","962","testIncorrectLoginCredentials(LoginTestData) [6] LoginTestData(super=BaseTestData(testCaseId=TC-2), username=demo_username, password=demo_password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Sun Feb 22 21:00:13 UTC 2026","passed","Sun Feb 22 21:00:14 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
