"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","956","testCorrectLoginCredentials(LoginFixture) [2] LoginFixture(super=BaseFixture(testCaseId=TC-1), username=problem_user, password=secret_sauce, errorMessage=)","","Mon Jun 09 10:59:33 GMT 2025","passed","Mon Jun 09 10:59:34 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","885","testIncorrectLoginCredentials(LoginFixture) [4] LoginFixture(super=BaseFixture(testCaseId=TC-2), username=problem_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Jun 09 10:59:43 GMT 2025","passed","Mon Jun 09 10:59:44 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials where the username is blank","889","testBlankUserName(LoginFixture) [1] LoginFixture(super=BaseFixture(testCaseId=TC-3), username=, password=demo_password, errorMessage=Epic sadface: Username is required)","","Mon Jun 09 10:59:47 GMT 2025","passed","Mon Jun 09 10:59:48 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankUserName"
"Test that verifies user gets error message after submitting login credentials where the password is blank","2553","testBlankPassword(LoginFixture) [1] LoginFixture(super=BaseFixture(testCaseId=TC-4), username=demo_username, password=, errorMessage=Epic sadface: Password is required)","","Mon Jun 09 10:59:30 GMT 2025","passed","Mon Jun 09 10:59:32 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankPassword"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","996","testCorrectLoginCredentials(LoginFixture) [1] LoginFixture(super=BaseFixture(testCaseId=TC-1), username=standard_user, password=secret_sauce, errorMessage=)","","Mon Jun 09 10:59:32 GMT 2025","passed","Mon Jun 09 10:59:33 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","968","testIncorrectLoginCredentials(LoginFixture) [2] LoginFixture(super=BaseFixture(testCaseId=TC-2), username=standard_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Jun 09 10:59:41 GMT 2025","passed","Mon Jun 09 10:59:42 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","5940","testCorrectLoginCredentials(LoginFixture) [3] LoginFixture(super=BaseFixture(testCaseId=TC-1), username=performance_glitch_user, password=secret_sauce, errorMessage=)","","Mon Jun 09 10:59:34 GMT 2025","passed","Mon Jun 09 10:59:40 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials for locked out user","1077","testLockedOutUser(LoginFixture) [1] LoginFixture(super=BaseFixture(testCaseId=TC-5), username=locked_out_user, password=secret_sauce, errorMessage=Epic sadface: Sorry, this user has been locked out.)","","Mon Jun 09 10:59:46 GMT 2025","passed","Mon Jun 09 10:59:47 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testLockedOutUser"
"Test that verifies user gets redirected to 'Login' page after logging out","3486","testSuccessfulLogout(ProductsFixture) [1] ProductsFixture(super=BaseFixture(testCaseId=TC-1), username=standard_user, password=secret_sauce, url=https://www.saucedemo.com/)","","Mon Jun 09 10:59:30 GMT 2025","passed","Mon Jun 09 10:59:33 GMT 2025","","io.github.tahanima.e2e.ProductsTest","io.github.tahanima.e2e.ProductsTest","testSuccessfulLogout"
"Test that verifies user gets error message after submitting incorrect login credentials","909","testIncorrectLoginCredentials(LoginFixture) [1] LoginFixture(super=BaseFixture(testCaseId=TC-2), username=username, password=secret_sauce, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Jun 09 10:59:40 GMT 2025","passed","Mon Jun 09 10:59:41 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","894","testIncorrectLoginCredentials(LoginFixture) [5] LoginFixture(super=BaseFixture(testCaseId=TC-2), username=performance_glitch_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Jun 09 10:59:44 GMT 2025","passed","Mon Jun 09 10:59:45 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","863","testIncorrectLoginCredentials(LoginFixture) [3] LoginFixture(super=BaseFixture(testCaseId=TC-2), username=locked_out_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Jun 09 10:59:42 GMT 2025","passed","Mon Jun 09 10:59:43 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","914","testIncorrectLoginCredentials(LoginFixture) [6] LoginFixture(super=BaseFixture(testCaseId=TC-2), username=demo_username, password=demo_password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon Jun 09 10:59:45 GMT 2025","passed","Mon Jun 09 10:59:46 GMT 2025","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
